L_yy_mm_dd_hh_mm_N<x>_<seed>,PI,IRR,N turbines,AEP,efficiency,LCoE,capacity factor,installed MW
L_26_06_18_21_24_N16_16880738798942033226,1.675657,,16,228.439068,92.484425,39.581629,0.483634,53.920000
L_26_06_18_18_13_N14_6576581080151974730,1.674475,,14,202.275107,93.590681,39.648174,0.489419,47.180000
L_26_06_18_18_31_N14_12146356031834643690,1.671139,,14,201.952378,93.441357,39.687697,0.488638,47.180000
L_26_06_18_20_06_N15_18385203957966050666,1.670588,,15,214.893930,92.800666,39.667832,0.485287,50.550000
L_26_06_18_18_48_N14_5199820850165561110,1.669083,,14,201.740616,93.343377,39.715027,0.488125,47.180000
L_26_06_18_19_47_N15_4801872406968103340,1.667708,,15,214.648817,92.694815,39.704451,0.484734,50.550000
L_26_06_18_20_54_N16_5121864503418158291,1.632412,14.9404,16,229.124854,92.762068,40.200751,0.485085,53.920000
L_26_06_18_19_26_N15_9214841224539543549,1.631782,14.9107,15,216.204020,93.366420,40.240156,0.488246,50.550000
L_26_06_18_21_50_N16_13653079470118043688,1.627141,14.8392,16,228.537594,92.524314,40.266386,0.483842,53.920000
