L_yy_mm_dd_hh_mm_N<x>_<seed>,PI,N turbines,AEP,efficiency,LCoE,capacity factor,installed MW
L_26_06_09_09_44_N16_1207261997542727274,1.337170,16,132.312723,92.609826,59.675510,0.280122,53.920000
L_26_06_09_07_53_N15_8272770663155870506,1.335312,15,124.743164,93.132431,59.719046,0.281703,50.550000
L_26_06_09_11_37_N17_9862658299208870291,1.333788,17,139.477299,91.881917,59.791904,0.277921,57.290000
L_26_06_08_18_12_N14_14509096927881832846,1.331732,14,117.047040,93.628452,59.814817,0.283203,47.180000
