L_yy_mm_dd_hh_mm_N<x>_<seed>,PI,IRR,N turbines,AEP,efficiency,LCoE,capacity factor,installed MW
L_26_06_30_23_33_N17_3042238999638795276,1.775759,17.5648,17,251.238924,98.177358,39.256781,0.500615,57.290000
L_26_06_24_09_41_N17_5600709196138945841,1.775622,17.5588,17,251.462697,98.264803,39.261265,0.501061,57.290000
L_26_06_30_23_09_N17_8338646694609356382,1.775433,17.5588,17,251.288303,98.196654,39.261154,0.500714,57.290000
L_26_06_18_14_39_N17_11057970192623874460,1.775408,17.5588,17,251.435250,98.254077,39.263631,0.501006,57.290000
L_26_06_24_10_01_N17_5982961543882514552,1.775394,17.5588,17,251.433657,98.253454,39.263788,0.501003,57.290000
L_26_06_18_14_06_N17_4501964112976534285,1.773759,17.5291,17,251.163856,98.148024,39.281143,0.500466,57.290000
L_26_06_18_15_02_N17_6685919793734214877,1.772774,17.5053,17,251.097353,98.122036,39.292441,0.500333,57.290000
L_26_06_30_22_35_N17_5789083418458537010,1.772348,17.4993,17,251.320973,98.209420,39.301167,0.500779,57.290000
