wind_speed_m_per_s,wind_direction_deg,yaw_angles_deg_by_turbine
5.000000,132.500000,"[0.0, -5.535714285714286, 0.0, 0.0, -7.238095238095237, -12.42857142857143, -14.571428571428571, 0.0, 0.0, 0.0, -2.1904761904761907, 0.0, -3.3928571428571437, 0.0, 0.0, 0.0, 0.0]"
5.000000,137.500000,"[0.0, -4.571428571428571, 0.0, 0.0, 8.125000000000002, -18.19047619047619, -15.875, 0.0, 0.0, 0.0, 3.6309523809523814, 0.0, -5.309523809523808, 0.0, 0.0, -2.440476190476191, 0.0]"
5.000000,142.500000,"[0.0, 2.1071428571428577, 0.0, 0.0, 8.857142857142858, -20.0, -15.875, 0.0, 0.0, 0.0, 1.6190476190476195, 0.0, 0.0, 0.0, 0.0, -5.940476190476189, 0.0]"
5.000000,147.500000,"[0.0, 2.4285714285714293, 0.0, 0.0, 3.660714285714286, 14.857142857142856, 20.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.166666666666668, 0.0, 0.0, -8.702380952380954, 0.0]"
5.000000,152.500000,"[0.0, 0.0, 0.0, 0.0, 0.0, 6.732142857142858, 17.428571428571434, 0.0, 0.0, 0.0, 0.0, 0.0, 2.3392857142857144, 0.0, 0.0, -11.071428571428571, 0.0]"
5.000000,157.500000,"[0.0, -6.964285714285714, 0.0, 0.0, 0.0, 0.0, 8.160714285714286, 0.0, 0.0, 0.0, 1.5714285714285716, 0.0, 0.0, 0.0, 0.0, -8.232142857142858, 0.0]"
5.000000,162.500000,"[-2.285714285714286, -10.178571428571429, 0.0, 0.0, 0.0, 0.0, 3.6071428571428577, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11.714285714285715, 0.0]"
5.000000,167.500000,"[2.8571428571428577, -6.19047619047619, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.928571428571429, 0.0, 0.0, 0.0, 0.0, 0.0, 10.66666666666667, 0.0]"
5.000000,172.500000,"[0.0, 10.500000000000002, 0.0, 0.0, -3.7976190476190483, 0.0, 0.0, 0.0, 0.0, -2.071428571428572, 1.6190476190476195, 0.0, 0.0, 0.0, 0.0, 7.047619047619049, 0.0]"
5.000000,177.500000,"[-4.000000000000001, 11.107142857142858, 0.0, -3.0119047619047623, -3.654761904761905, 0.0, 0.0, 0.0, -3.023809523809524, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0178571428571432, 0.0]"
5.000000,182.500000,"[0.0, 7.011904761904764, 0.0, -9.095238095238097, 3.9642857142857144, 0.0, 0.0, 0.0, -8.892857142857142, 1.6071428571428574, 0.0, -1.5595238095238102, 0.0, 0.0, 0.0, 0.0, -4.166666666666666]"
5.000000,187.500000,"[5.464285714285715, 2.285714285714286, 0.0, -14.892857142857142, 4.250000000000001, 0.0, 0.0, 0.0, -15.94047619047619, 0.0, 0.0, -4.446428571428571, 0.0, 0.0, 0.0, 0.0, -10.732142857142858]"
5.000000,192.500000,"[2.023809523809524, 0.0, 0.0, -14.285714285714285, 0.0, 0.0, 0.0, 0.0, -20.0, 0.0, 0.0, -4.446428571428571, 0.0, 0.0, 0.0, 0.0, -17.142857142857142]"
5.000000,197.500000,"[-3.821428571428572, 0.0, -1.6785714285714293, -11.142857142857142, 0.0, 0.0, 0.0, 0.0, -18.732142857142854, 0.0, 0.0, -11.023809523809524, 0.0, 0.0, 0.0, 0.0, -20.0]"
5.000000,202.500000,"[-10.607142857142858, 0.0, -6.357142857142856, 15.309523809523808, 0.0, 0.0, 0.0, 0.0, 18.73214285714286, 0.0, 0.0, 20.0, 0.0, 0.0, 0.0, 0.0, 18.5]"
5.000000,207.500000,"[-10.178571428571429, 0.0, -8.380952380952381, 11.42857142857143, 0.0, 0.0, 0.0, 0.0, 13.761904761904761, 0.0, 0.0, 20.0, 0.0, 0.0, 0.0, 0.0, 19.66071428571429]"
5.000000,212.500000,"[8.571428571428573, 0.0, 0.0, 8.571428571428573, 0.0, 0.0, 0.0, 0.0, 8.285714285714286, -1.6607142857142863, -1.7142857142857149, 15.232142857142856, -2.2500000000000004, 0.0, 0.0, 0.0, 13.517857142857142]"
5.000000,217.500000,"[11.91666666666667, 0.0, 10.119047619047622, 4.035714285714286, 0.0, 0.0, 0.0, 0.0, 2.3095238095238098, 0.0, -4.8928571428571415, 12.04761904761905, 0.0, 0.0, 0.0, 0.0, 7.446428571428573]"
5.000000,222.500000,"[6.857142857142858, 0.0, 5.035714285714287, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -9.946428571428573, 6.125000000000002, 1.9642857142857149, 0.0, 0.0, 0.0, 2.089285714285715]"
5.000000,227.500000,"[1.654761904761905, 0.0, 0.0, 0.0, -1.7142857142857149, 0.0, 0.0, 0.0, 0.0, 0.0, -2.440476190476191, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5.000000,232.500000,"[0.0, 0.0, -1.5238095238095242, 0.0, -5.428571428571428, 0.0, 0.0, 0.0, 0.0, -1.952380952380953, 8.071428571428573, 0.0, -2.1071428571428577, 0.0, 0.0, 0.0, 0.0]"
5.000000,237.500000,"[0.0, 0.0, -4.071428571428573, -1.6428571428571435, -11.94047619047619, 0.0, 0.0, 0.0, 0.0, 0.0, 6.880952380952381, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5.000000,242.500000,"[0.0, 0.0, -2.047619047619048, 0.0, -9.214285714285714, 0.0, 0.0, 0.0, 0.0, 2.690476190476191, 1.8571428571428577, -2.8571428571428577, 0.0, 0.0, 0.0, 0.0, 0.0]"
5.000000,247.500000,"[0.0, 0.0, 4.375, 1.4821428571428572, 9.017857142857142, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4285714285714293, -3.976190476190477, 0.0, 0.0, 0.0, 0.0]"
5.000000,252.500000,"[0.0, 0.0, 2.500000000000001, 0.0, 9.976190476190476, 0.0, 0.0, 0.0, 0.0, -1.7857142857142863, 0.0, 2.1964285714285716, -3.845238095238096, -2.8571428571428577, 0.0, 0.0, 0.0]"
5.000000,257.500000,"[0.0, 0.0, 0.0, -4.142857142857144, 4.488095238095238, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.8571428571428577, 0.0, 0.0, 0.0, 0.0]"
5.000000,262.500000,"[0.0, 0.0, 0.0, -4.619047619047619, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.738095238095239, 2.166666666666667, 0.0, 0.0, 0.0]"
5.000000,267.500000,"[0.0, 0.0, -3.5238095238095246, 1.9761904761904767, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.8571428571428577, 2.2500000000000004, 0.0, 0.0, 0.0]"
5.000000,272.500000,"[0.0, 0.0, -3.5535714285714293, 5.000000000000002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.833333333333334, 0.0, 0.0, 0.0, -3.1071428571428577, 0.0, 0.0]"
5.000000,277.500000,"[0.0, 0.0, 2.5535714285714293, 0.0, 0.0, 0.0, 0.0, 0.0, -1.571428571428572, 0.0, -3.166666666666667, 0.0, 0.0, 0.0, -9.797619047619046, 0.0, -2.0000000000000004]"
5.000000,282.500000,"[0.0, 0.0, 2.8571428571428577, 0.0, 0.0, 0.0, 0.0, 0.0, -3.714285714285715, 0.0, 0.0, 0.0, 0.0, -4.2857142857142865, -12.571428571428571, 0.0, 0.0]"
5.000000,287.500000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.654761904761905, -1.6904761904761911, 3.0119047619047623, 0.0, 0.0, -7.976190476190475, -3.86904761904762, 0.0, 2.0000000000000004]"
5.000000,292.500000,"[0.0, 0.0, -2.0000000000000004, 0.0, 0.0, 0.0, 0.0, 0.0, 3.3035714285714293, 0.0, 1.6250000000000004, 0.0, 0.0, 0.0, 13.119047619047619, 0.0, 0.0]"
5.000000,297.500000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.178571428571429, 1.7380952380952386, 0.0, -1.928571428571429, 0.0, 8.857142857142858, 12.523809523809527, 0.0, 0.0]"
5.000000,302.500000,"[0.0, 0.0, 1.666666666666667, 0.0, 0.0, -1.7142857142857149, 0.0, 0.0, 1.785714285714286, 0.0, -2.1428571428571432, 0.0, 0.0, 4.904761904761905, 6.404761904761905, -3.821428571428572, 0.0]"
5.000000,307.500000,"[0.0, 0.0, 0.0, 0.0, 0.0, -5.428571428571428, 0.0, 0.0, 0.0, 0.0, -6.607142857142857, 1.654761904761905, 0.0, 0.0, 0.0, -10.761904761904761, -3.714285714285715]"
5.000000,312.500000,"[0.0, -1.904761904761905, 0.0, 0.0, 0.0, -12.75, 0.0, 0.0, 0.0, -2.8571428571428577, -5.32142857142857, 0.0, 0.0, 0.0, -4.910714285714285, -16.5, -3.178571428571429]"
