wind_speed_m_per_s,wind_direction_deg,yaw_angles_deg_by_turbine
5.000000,202.500000,"[0.0, 0.0, 0.0, 0.0, 0.0, -2.1666666666666665, -14.5, 0.0, 0.0, 0.0, -5.25, 0.0, 0.0, 7.083333333333333, 0.0, 0.0, 0.0]"
5.000000,207.500000,"[0.0, 0.0, 0.0, 0.0, 2.354166666666667, -4.0, -20.0, 0.0, 0.0, 0.0, -15.1875, 0.0, 0.0, -3.0625, 0.0, 0.0, 0.0]"
5.000000,212.500000,"[0.0, 0.0, 0.0, -4.5, 0.0, -12.895833333333332, -14.291666666666668, -4.0, 0.0, 0.0, -19.666666666666668, 0.0, -3.6875, -14.208333333333332, 0.0, 0.0, 0.0]"
5.000000,217.500000,"[0.0, 0.0, 0.0, -10.229166666666666, 0.0, -18.5, 12.75, -8.0, 0.0, 0.0, 16.645833333333336, 0.0, 4.0, -15.208333333333332, 0.0, 0.0, 0.0]"
5.000000,232.500000,"[0.0, 0.0, 0.0, 0.0, -8.916666666666666, 9.354166666666668, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.3125, 0.0, 8.270833333333334, 0.0, 9.125]"
5.000000,237.500000,"[0.0, 0.0, 0.0, -2.7291666666666665, 13.354166666666668, 4.0, -4.5, 0.0, 0.0, 0.0, 0.0, 0.0, 9.416666666666666, 0.0, 0.0, 0.0, 14.1875]"
5.000000,242.500000,"[0.0, 0.0, 0.0, 4.666666666666667, 4.75, 0.0, 2.8333333333333335, 0.0, 0.0, 0.0, 0.0, -6.833333333333333, 0.0, 0.0, 2.708333333333333, 0.0, 6.229166666666667]"
5.000000,247.500000,"[0.0, 0.0, 0.0, 0.0, -3.291666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -13.895833333333332, 0.0, 0.0, 0.0, 0.0, 0.0]"
5.000000,252.500000,"[-3.2708333333333335, -5.0, 0.0, 0.0, -11.291666666666668, -4.0, -7.0625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -8.604166666666668, 0.0, 0.0]"
5.000000,257.500000,"[-11.354166666666668, -11.625, -4.645833333333334, -4.395833333333334, -18.291666666666664, -11.0, -12.875, -4.374999999999999, 0.0, 0.0, 0.0, 5.25, 1.7083333333333335, 0.0, -13.270833333333334, 0.0, 0.0]"
5.000000,262.500000,"[-18.229166666666664, -20.0, -10.8125, 2.7708333333333335, 16.895833333333336, 6.395833333333334, 10.604166666666668, -11.708333333333332, 0.0, 0.0, 0.0, -1.7083333333333333, -1.8750000000000002, 0.0, 13.958333333333332, 0.0, 0.0]"
5.000000,267.500000,"[19.53125, 20.0, 12.770833333333334, 0.0, 16.5, 4.895833333333334, 6.229166666666667, 13.708333333333332, 0.0, 0.0, 0.0, 0.0, 5.291666666666666, 0.0, 4.8125, 0.0, 0.0]"
5.000000,272.500000,"[15.604166666666668, 10.104166666666668, 13.8125, -4.791666666666666, 7.666666666666667, 0.0, 0.0, 17.270833333333332, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0833333333333335, -9.0, 0.0]"
5.000000,277.500000,"[7.5, 1.875, 7.0625, -11.229166666666666, 0.0, 0.0, 0.0, 10.5, 0.0, 0.0, 0.0, -2.895833333333333, 0.0, 0.0, -2.5, 9.291666666666668, -8.0]"
5.000000,282.500000,"[0.0, 2.5, 0.0, 2.8333333333333335, 0.0, 0.0, 0.0, 2.25, 0.0, 0.0, 0.0, -11.5625, -4.5, 0.0, -2.5, 12.0, -13.5]"
5.000000,287.500000,"[-8.458333333333332, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.291666666666666, 4.0, 0.0, 3.625, 3.5, 11.625]"
5.000000,292.500000,"[7.0, 0.0, 0.0, 0.0, 0.0, -4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.229166666666666, 0.0, 0.0, 0.0, 0.0, 13.229166666666666]"
5.000000,297.500000,"[7.375, 0.0, 0.0, 0.0, 0.0, -12.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -11.104166666666668, 0.0, -2.125, 2.0, 4.0]"
5.000000,302.500000,"[0.0, -4.625, -2.375, -9.854166666666668, 0.0, -13.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -7.645833333333334, 0.0, -4.416666666666667, -7.0, 0.0]"
5.000000,307.500000,"[-3.0, 2.5833333333333335, -10.0625, 10.791666666666668, 0.0, 13.791666666666668, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.291666666666668, 0.0, 5.0, 0.0, 0.0]"
5.000000,312.500000,"[-3.6666666666666665, 5.708333333333334, -16.375, 12.3125, 0.0, 8.770833333333334, 0.0, 0.0, 0.0, 0.0, 0.0, -2.208333333333333, 4.875, 0.0, 0.0, 10.5, 0.0]"
5.000000,317.500000,"[4.875, 0.0, 12.3125, 4.833333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -3.375, 2.395833333333333, 0.0]"
5.000000,322.500000,"[0.0, -2.75, 16.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -9.083333333333334, 0.0, 0.0]"
7.000000,97.500000,"[3.541666666666667, 0.0, 7.229166666666667, 0.0, 9.0625, 0.0, 1.7708333333333333, 0.0, -8.791666666666668, 7.3125, -2.8125, 0.0, 0.0, 0.0, 0.0, 0.0, -6.75]"
7.000000,102.500000,"[0.0, 8.9375, 0.0, -6.5, 2.354166666666667, 0.0, -5.0625, 0.0, -16.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.3125]"
7.000000,107.500000,"[0.0, 2.75, 0.0, 0.0, 0.0, 2.5833333333333335, 4.583333333333333, 0.0, 16.333333333333336, 0.0, -5.083333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 3.5625]"
7.000000,112.500000,"[0.0, 0.0, 0.0, 10.0625, -2.375, 0.0, 3.2708333333333335, 0.0, 13.4375, 0.0, 5.854166666666666, 0.0, 0.0, -3.4375, 0.0, 0.0, 0.0]"
7.000000,117.500000,"[0.0, 0.0, 0.0, 0.0, -10.291666666666668, -4.645833333333334, -2.0, 0.0, 4.604166666666666, 0.0, 6.5, 0.0, 0.0, -13.625, 0.0, 0.0, 0.0]"
7.000000,122.500000,"[0.0, 0.0, 0.0, -4.625, -6.5, -10.666666666666666, -4.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -19.104166666666664, 0.0, 0.0, -4.0]"
7.000000,127.500000,"[0.0, 0.0, 0.0, 0.0, 12.0, 2.6875, 4.0, 0.0, -2.8333333333333335, 0.0, -9.645833333333332, 0.0, 0.0, 17.5, 0.0, 0.0, 0.0]"
7.000000,132.500000,"[0.0, 0.0, 0.0, 5.916666666666667, 4.833333333333333, 11.0, 0.0, 0.0, -3.291666666666667, 0.0, -16.0, 0.0, 0.0, 11.0625, 0.0, 0.0, 5.5]"
7.000000,137.500000,"[0.0, 0.0, 0.0, 0.0, -2.791666666666667, 4.625, 0.0, 0.0, 4.854166666666666, 0.0, 3.5, 0.0, 0.0, 1.75, 0.0, 0.0, 0.0]"
7.000000,152.500000,"[0.0, 0.0, 0.0, 0.0, 0.0, 5.791666666666666, -4.0, 0.0, -7.0, 0.0, 0.0, 0.0, 0.0, -4.270833333333333, 0.0, 0.0, -4.625]"
7.000000,157.500000,"[0.0, 0.0, 0.0, 0.0, 2.708333333333333, 2.0, -8.0, 0.0, 3.125, 0.0, 0.0, -2.5833333333333335, 0.0, -12.0, 0.0, 0.0, 6.729166666666667]"
7.000000,162.500000,"[0.0, 0.0, 0.0, 0.0, 2.8333333333333335, 0.0, 4.0, -2.3125, 0.0, 0.0, 0.0, -9.583333333333334, 0.0, 7.291666666666666, -2.895833333333333, 0.0, 3.5]"
